지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2022-05-20,23.1,20.1,27.6,,1.8,33,10.3,
90,속초,2022-05-21,24.5,18.2,30.3,,1.8,41.1,13.1,
90,속초,2022-05-22,20,14.9,24.3,0,1.7,63.9,10.6,
90,속초,2022-05-23,18.6,14,23.9,,1.9,76,13,
90,속초,2022-05-24,24.6,16.9,30.2,,2,50.5,12.7,
90,속초,2022-05-25,22.4,17.5,27.8,0,2.1,52.8,9.9,
90,속초,2022-05-26,20.8,14.9,25.5,1.4,2.6,42.5,13.2,
90,속초,2022-05-27,19.7,16.8,24.9,0,2.5,54.1,9.7,
90,속초,2022-05-28,26.5,17.4,33.5,,2.7,32.5,13.4,
90,속초,2022-05-29,22.5,16.9,27.8,,2.5,50.4,12,
90,속초,2022-05-30,16.9,16,18.7,0,3,85.8,0,
90,속초,2022-05-31,20.9,12.8,26.8,,2.1,51.3,12.7,
90,속초,2022-06-01,20.7,16.3,24.2,,1.7,44.4,9.2,
90,속초,2022-06-02,21.3,16.1,27.2,,1.8,57,13.2,
90,속초,2022-06-03,19.1,17,21.8,0,2.7,80.4,4.4,
90,속초,2022-06-04,18.7,17.3,22.1,0,3.3,83,1.4,
90,속초,2022-06-05,17.5,16.5,19,14.1,3.4,91,0,
90,속초,2022-06-06,14.1,12.3,16.9,75.4,4.3,93.6,0,
90,속초,2022-06-07,13.6,11.2,14.9,2.8,2.1,87,.1,
90,속초,2022-06-08,15.8,10.1,20,,1.6,75.5,13.4,
90,속초,2022-06-09,15.6,12.4,19.7,.1,1,87.4,2.6,
90,속초,2022-06-10,17.8,13.1,23,,1.1,85.8,11.5,
90,속초,2022-06-11,17.8,15.9,20.2,,1.6,92,6.2,
90,속초,2022-06-12,18.7,16.4,22.9,0,1.8,85.4,3,
90,속초,2022-06-13,18.4,16.4,21.3,0,1.7,86.1,2.4,
90,속초,2022-06-14,17.3,15.9,20.1,0,1.7,80.9,1,
90,속초,2022-06-15,14.8,13.7,16.6,9.2,1.6,89.5,0,
90,속초,2022-06-16,18.7,13.8,23,5.4,1.5,81.4,11.5,
90,속초,2022-06-17,23.6,19.5,31,,2.1,60.8,13.9,
90,속초,2022-06-18,24.6,20.5,28.9,.1,1.7,67,11,
90,속초,2022-06-19,23.9,19.8,29.4,,1.7,74.8,12,
90,속초,2022-06-20,24.5,20.9,28.9,,1.3,73,13.2,
90,속초,2022-06-21,22.2,20,26.3,,1.5,88.4,7.9,
90,속초,2022-06-22,22.3,19.7,25.2,,1.7,91.9,4.5,
90,속초,2022-06-23,21.3,20.1,22.9,54.8,1.2,96.5,0,
90,속초,2022-06-24,26.2,20.2,32.7,11.7,2.1,66.6,11,
90,속초,2022-06-25,29.8,23.9,34.6,,2.4,45.9,12.2,
90,속초,2022-06-26,26.4,19.8,32.3,19.9,2,72.3,2.4,
90,속초,2022-06-27,24.4,21.6,28.5,19.9,1.2,87.1,.3,
90,속초,2022-06-28,29.4,24.2,31.4,.4,2.9,61.4,0,
90,속초,2022-06-29,27.1,22.8,32.5,.6,2,74.5,1.3,
