지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2023-05-20,17.8,10.4,24.6,,2.6,65.9,11,
90,속초,2023-05-21,22.5,20,27.3,,1.9,41.5,7.3,
90,속초,2023-05-22,17.9,12.4,21.1,,1.9,49.9,9.3,
90,속초,2023-05-23,16.9,10.7,22.9,,1.2,58.3,12.2,
90,속초,2023-05-24,18.1,10.6,25.5,,2,53.5,11.4,
90,속초,2023-05-25,18.4,15,24.2,0,1.9,62.6,9.2,
90,속초,2023-05-26,19.2,15.2,23.9,0,2.5,62.4,10.7,
90,속초,2023-05-27,18.7,16.1,24.8,6.9,.9,77.3,2.8,
90,속초,2023-05-28,15.6,14.6,17.1,9.6,1.2,98.4,0,
90,속초,2023-05-29,17.3,15.2,21.5,3,1.1,93.8,7,
90,속초,2023-05-30,17.1,14.3,21.6,0,1.8,88.9,4.9,
90,속초,2023-05-31,17.4,12.1,21.3,,1.7,81,10.5,
90,속초,2023-06-01,20.8,16,28.2,0,1.2,71,3.6,
90,속초,2023-06-02,19.4,16.6,24.1,0,1.6,75.5,8.3,
90,속초,2023-06-03,23.5,13.3,30.1,,2.1,44.4,13.8,
90,속초,2023-06-04,25,19.4,29.7,,2.6,37.5,10.8,
90,속초,2023-06-05,25.5,17.7,30.9,,2.2,41.9,12.9,
90,속초,2023-06-06,22.5,19,26,1.3,1.6,55.1,8.9,
90,속초,2023-06-07,24,19.3,26.6,,3.1,54.1,13.9,
90,속초,2023-06-08,23.1,19.1,27.7,0,1.6,57.9,4.8,
90,속초,2023-06-09,19.5,14.3,23.5,12.6,2.2,73.9,13.4,
90,속초,2023-06-10,18.7,16.2,23.4,23.1,1.7,84.9,7.3,
90,속초,2023-06-11,18.7,16.1,22.4,4.9,1.1,89.1,3.3,
90,속초,2023-06-12,18.9,16.7,22.1,2.3,1.1,91.6,1.3,
90,속초,2023-06-13,18.9,15.6,24.3,16.1,1.3,90.8,6,
90,속초,2023-06-14,18.6,13.9,22.5,.2,1.5,86.1,8.4,
90,속초,2023-06-15,19.5,17.1,23.3,.2,1.3,86.9,6,
90,속초,2023-06-16,22.8,16.1,28.8,,1.7,75.9,13.8,
90,속초,2023-06-17,27,20.5,32.2,,1.4,54.1,12.3,
90,속초,2023-06-18,23.4,20.9,27.4,,2.1,73.6,10.8,
90,속초,2023-06-19,22.1,19.1,25.5,,2.2,84,11.4,
90,속초,2023-06-20,21.1,20.3,23.1,0,3.2,84.3,.4,
90,속초,2023-06-21,18.8,17.8,21.3,38.2,2.2,89.1,1.2,
90,속초,2023-06-22,20.4,16.3,23.6,2.2,1.6,82.3,8.1,
90,속초,2023-06-23,21.4,17.7,25.3,,1.2,83,13,
90,속초,2023-06-24,21,16.6,24.8,,2,83,12.3,
90,속초,2023-06-25,21.7,18.6,25.8,,1.9,86.1,11.6,
90,속초,2023-06-26,20.4,19.4,22.1,33.8,1.3,95.9,0,
90,속초,2023-06-27,26.8,20,32.4,15.2,2.6,64.4,11.6,
90,속초,2023-06-28,28.8,23.2,34.3,,1.5,58,11.6,
90,속초,2023-06-29,23.7,19.9,29.1,37.6,1.6,80.3,0,
90,속초,2023-06-30,21.9,19.7,24.8,12.4,1.2,89.4,4.1,
90,속초,2023-07-01,23.2,19.9,27.7,,1.9,84.4,8.4,
90,속초,2023-07-02,25.9,21.7,33,,1.6,72,6.5,
90,속초,2023-07-03,23.4,21.2,26.7,,1.5,87.6,2.5,
90,속초,2023-07-04,23.4,22,26,14.9,1.2,90.1,2.4,
90,속초,2023-07-05,27.4,21.8,33.3,19.4,2.8,64,9.4,
90,속초,2023-07-06,30.1,25.3,34.5,,3.7,47.4,7.5,
90,속초,2023-07-07,24.5,20.7,31.7,,1.2,73.8,7.7,
90,속초,2023-07-08,22.6,19.6,26.6,,1.3,86.4,6.6,
90,속초,2023-07-09,22.5,21.2,26.8,29.4,1.7,90.3,2.4,
90,속초,2023-07-10,27.6,22,33.7,7.4,1.3,68.6,8.3,
90,속초,2023-07-11,26.3,23.2,30.3,1.1,1.7,68.9,4.2,
90,속초,2023-07-12,26,23.3,31.3,,1.3,76.5,10,
90,속초,2023-07-13,24.3,22.9,26.8,9.5,.9,91.4,.2,
90,속초,2023-07-14,26.5,23.1,29.6,10.3,1.3,83.3,.8,
90,속초,2023-07-15,25.9,23.5,29.6,.6,2,75.1,0,
90,속초,2023-07-16,25.3,24,28.2,0,.9,76.9,0,
90,속초,2023-07-17,25,23.8,27.5,0,.9,83.3,0,
90,속초,2023-07-18,25,22.7,28.1,.7,1.2,87,.3,
90,속초,2023-07-19,23.8,21.4,27.5,,1.8,86.3,9.3,
90,속초,2023-07-20,23.8,20.6,27.8,,1.4,88.9,8.8,
90,속초,2023-07-21,24.6,22.4,27.8,,1.5,88.5,2.7,
90,속초,2023-07-22,24.9,22.9,28,.1,1.8,85.9,9.1,
90,속초,2023-07-23,24.5,22.6,28.7,3.5,1.6,84,0,
90,속초,2023-07-24,26.3,23,31.9,8.5,1.4,81.6,7.2,
90,속초,2023-07-25,27.3,23.8,32.9,,1.4,71.9,11.1,
90,속초,2023-07-26,27,23.9,31,2.8,1.3,77.5,5.2,
90,속초,2023-07-27,28.5,25.7,32.5,,1.8,70.6,12.5,
90,속초,2023-07-28,28.2,25.1,32.1,,1.2,76.3,11.5,
90,속초,2023-07-29,29,24.5,33.4,0,1.5,71.8,11.5,
90,속초,2023-07-30,29.1,24.1,35.1,,1.5,66.9,13.1,
90,속초,2023-07-31,27.7,25,30.6,,1,77,5.3,
90,속초,2023-08-01,27.2,23.4,31.8,,1.4,81.4,11.1,
90,속초,2023-08-02,30.3,25.3,34.9,,1.4,67.6,10.4,
90,속초,2023-08-03,31.5,25.1,36.3,,1.8,54.4,12.9,
90,속초,2023-08-04,31.2,26.7,36.6,,1.6,60.6,11.2,
90,속초,2023-08-05,31,26.2,35.8,,1.7,63.1,13.3,
90,속초,2023-08-06,27,25.4,30,55,,88.4,2.1,
90,속초,2023-08-07,23.8,21.6,26.1,67.3,,89.5,,
90,속초,2023-08-08,22.8,21.2,24.3,.4,,86.1,,
90,속초,2023-08-09,21.8,21.1,23.1,34.1,,91.9,,
90,속초,2023-08-10,22.2,20.8,24.2,368.7,4.9,95,,
90,속초,2023-08-11,25.4,22.1,31.6,.3,1.3,76.8,,
90,속초,2023-08-12,23.2,21.8,24.4,.1,1,87.8,,
90,속초,2023-08-13,22.8,22,24.8,0,1,91.6,,
90,속초,2023-08-14,23.2,21.7,26.4,0,1.3,91.1,,
90,속초,2023-08-15,22.1,21.5,23.2,1.8,2.2,91.3,,
90,속초,2023-08-16,23.2,21.2,25.9,0,1.3,86.6,,
90,속초,2023-08-17,24.1,21.9,27.4,,1.5,88.1,,
90,속초,2023-08-18,24.1,21.9,27.7,.2,1.3,89.1,,
90,속초,2023-08-19,24.5,21.7,27.5,,1,89,8,
90,속초,2023-08-20,24.7,23.6,27,6.7,1,90.6,2.2,
90,속초,2023-08-21,25.6,22.9,28.7,,1.1,91,7.7,
90,속초,2023-08-22,26.7,23.1,34.1,.3,1.2,82.3,8.4,
90,속초,2023-08-23,23.4,20.5,29.2,59.7,1.6,91.4,2.6,
90,속초,2023-08-24,22.3,20.9,24.3,29.7,1.1,92.9,0,
90,속초,2023-08-25,23.7,21.4,26.7,6.5,1.5,87.3,10.8,
90,속초,2023-08-26,24.6,20.6,29.3,,1,76.5,10.7,
90,속초,2023-08-27,23.1,21,25.9,,1.4,87,3.5,
90,속초,2023-08-28,21.5,20.6,22.5,13.9,1.1,93.3,0,
90,속초,2023-08-29,23.9,21.8,26,1.9,.7,93.3,.2,
90,속초,2023-08-30,22.5,20.7,24.9,23,1.1,89.9,0,
90,속초,2023-08-31,22.5,19.1,26.6,,1.5,84.6,6.8,
90,속초,2023-09-01,22.8,17.6,28.9,,1.6,76.9,11.8,
90,속초,2023-09-02,22.7,19,26.7,,1.1,75.4,12,
90,속초,2023-09-03,22.5,20.3,24.6,.7,1,88.1,.4,
90,속초,2023-09-04,23.6,21.9,26.4,,1.3,87,1.1,
90,속초,2023-09-05,23.7,21.6,27,,1.2,87.3,5,
90,속초,2023-09-06,23.4,20.5,27,.3,1.7,84.1,5.9,
90,속초,2023-09-07,22.4,18.7,27,,1.5,81,11.7,
90,속초,2023-09-08,22.3,18.4,27.2,,1.8,78.8,12.1,
90,속초,2023-09-09,22.1,17.4,26.8,,1.6,79.5,12,
90,속초,2023-09-10,22.3,18.3,26.2,,1.1,81.3,8,
90,속초,2023-09-11,23,19.2,26.2,,1.2,81.9,4.5,
90,속초,2023-09-12,24.4,20.7,28.5,,1.1,80.1,9.8,
90,속초,2023-09-13,20.2,18.3,23.2,76.8,1,93.8,0,
90,속초,2023-09-14,21.1,18.7,23.5,5.7,1.9,88,.7,
90,속초,2023-09-15,21,19.7,21.8,7,.9,91.9,0,
90,속초,2023-09-16,21.5,20.2,23.2,11.4,1,93.5,0,
90,속초,2023-09-17,22,20.3,23.7,10.6,1.3,92.9,.7,
90,속초,2023-09-18,23.1,20.2,26.1,.2,1.3,88.9,6.5,
90,속초,2023-09-19,25.9,20.6,30.6,,1.6,61.6,8.8,
90,속초,2023-09-20,19.6,16.3,25.5,61.1,2.6,88.5,0,
90,속초,2023-09-21,17.7,14,22,1.9,2.1,76.9,1.2,
90,속초,2023-09-22,18.5,13.6,23.2,,1.4,75.4,11.4,
90,속초,2023-09-23,20.4,16.2,23.8,,2.6,69.6,4.6,
90,속초,2023-09-24,19.3,15,23.7,,1.7,67.5,9.5,
90,속초,2023-09-25,,16.9,21.7,1.3,1.2,,.1,
90,속초,2023-09-26,18.8,17.7,19.9,22.1,1,95.9,0,
90,속초,2023-09-27,19.5,18.2,20.7,9.1,1.1,95.5,0,
90,속초,2023-09-28,23.8,18.9,29.2,,1.2,65.8,10,
90,속초,2023-09-29,20.4,17.5,23.8,,1.6,65.6,5.6,
90,속초,2023-09-30,21.3,17.7,25.9,,1.7,57,3.2,
93,북춘천,2023-05-20,20.1,12.5,27.5,,2.3,70.5,11.2,24.52
93,북춘천,2023-05-21,19.7,16.8,25.1,,3.3,60.3,8.9,24.07
93,북춘천,2023-05-22,18.4,12.5,25.4,,1.3,56.6,9.6,22.73
93,북춘천,2023-05-23,17.2,8.2,26,,1.1,56.1,12.4,28.28
93,북춘천,2023-05-24,18.1,9.6,26.6,,1.1,61.4,10.3,23.39
93,북춘천,2023-05-25,20.4,12.1,27.2,0,1.5,52.8,11.7,26.76
93,북춘천,2023-05-26,19.7,13.3,26.2,.4,1.6,64.8,11.6,25.82
93,북춘천,2023-05-27,17.4,14.3,20.1,16.5,.6,92.1,.7,6.44
93,북춘천,2023-05-28,18.8,17.5,20,21.7,.6,99.8,0,3.66
93,북춘천,2023-05-29,22.9,18.7,29.7,4.9,1,79.6,8.9,24.21
93,북춘천,2023-05-30,21.7,15.2,27.3,,1.6,70.8,7.4,19.74
93,북춘천,2023-05-31,20.6,13.6,27.6,,1.2,66.1,11.2,27.7
93,북춘천,2023-06-01,21.2,17.5,26.3,,.9,77.5,4,15.65
93,북춘천,2023-06-02,21.6,15.9,27.7,,1.4,70.6,11.8,28.15
93,북춘천,2023-06-03,21.5,14.1,28.7,,2.1,57.1,12.8,30.22
93,북춘천,2023-06-04,20.6,12.3,28.9,,1.6,60.8,12.5,28.24
93,북춘천,2023-06-05,20.6,12.3,27.7,,2.3,64.5,12.2,27.37
93,북춘천,2023-06-06,20.5,14,26.5,,1.9,70.5,10.2,22.71
93,북춘천,2023-06-07,21.8,18,27.2,,1.9,74.1,8,24.55
93,북춘천,2023-06-08,20.6,16.4,24.6,1.1,1.4,81.1,,
93,북춘천,2023-06-09,20.7,16.1,27.4,20.1,1.4,73.3,10.1,26.75
93,북춘천,2023-06-10,20,15.8,28.4,9.8,1.3,82,7.2,19.32
93,북춘천,2023-06-11,20.7,16.4,27.8,15,1.2,83,7.9,24.95
93,북춘천,2023-06-12,20.8,17.5,26.7,0,1.1,79.6,5,17.64
93,북춘천,2023-06-13,20.6,16.4,27.5,1.5,1.2,76.8,9.2,23.16
93,북춘천,2023-06-14,20,13.9,28,1.3,1.3,77.8,8.8,27.82
93,북춘천,2023-06-15,21.2,15.9,28.1,,1,77,9.5,23.28
93,북춘천,2023-06-16,23.4,16.5,30.7,,1.3,73,13.3,29.09
93,북춘천,2023-06-17,24,16.1,32.2,,1.1,67.3,12,28.43
93,북춘천,2023-06-18,26,18.6,33.7,,1.1,68.9,10.4,25.03
93,북춘천,2023-06-19,27,19.4,33.4,,1.1,65.1,11.6,25.69
93,북춘천,2023-06-20,22.8,20.4,25.6,.6,.9,83,0,7.51
93,북춘천,2023-06-21,19.6,17.7,22.2,22.8,1.1,92,.2,7.46
93,북춘천,2023-06-22,20.9,17.2,26.2,0,1,82.8,6,18.82
93,북춘천,2023-06-23,23,19,29.5,,.9,79,7.2,21.71
93,북춘천,2023-06-24,24.9,17.5,31.6,,1,73.9,13.1,29.19
93,북춘천,2023-06-25,26.7,20.1,33.2,,.8,75.1,10.9,26.02
93,북춘천,2023-06-26,22.5,19.9,25.2,62.8,.8,95.1,0,3.01
93,북춘천,2023-06-27,24.5,20.6,29.1,4.8,2.4,78.3,5,17.25
93,북춘천,2023-06-28,25.8,20.3,30.9,0,1.5,78.6,9.3,24.83
93,북춘천,2023-06-29,23.4,21.3,25.3,83.1,.8,95.4,0,3.18
93,북춘천,2023-06-30,25,20.7,30.8,57.8,.9,86.9,6.8,21.46
93,북춘천,2023-07-01,27.6,23.2,33.8,,1.2,77.8,11.4,28.21
93,북춘천,2023-07-02,26.5,21.8,31.7,,.9,82.3,7.9,22.67
93,북춘천,2023-07-03,27.7,22.3,34.1,,1,77.9,10.2,26.66
93,북춘천,2023-07-04,25.8,22.5,31.5,52.2,1.2,85.8,6.7,17.68
93,북춘천,2023-07-05,25.1,22.6,29.8,35.7,3.2,80.5,6.3,19.79
93,북춘천,2023-07-06,26.1,22.1,32.4,,1.4,78.8,5.4,18.75
93,북춘천,2023-07-07,25.9,20.6,32.4,,1.3,73.5,11.1,24.63
93,북춘천,2023-07-08,24.9,17.9,31.8,,.9,79.8,7.3,23.29
93,북춘천,2023-07-09,23.6,20.2,28,19.7,.9,89.6,4.5,11.11
93,북춘천,2023-07-10,25.5,21.8,30.9,9.7,1.3,85.8,6.9,19.94
93,북춘천,2023-07-11,22.8,20.9,25.8,39.5,.7,95.1,0,2.97
93,북춘천,2023-07-12,24.7,20.9,29,3.2,.8,88.8,5,16.1
93,북춘천,2023-07-13,24.2,22.8,27.6,58.2,.6,96.1,0,5.28
93,북춘천,2023-07-14,24.5,22.6,26.1,43.1,1.1,96.8,0,2.87
93,북춘천,2023-07-15,23.9,22.6,25.5,7.7,.9,93.9,0,2.88
93,북춘천,2023-07-16,24.2,22.5,27.2,.1,1.1,92.1,.4,7.18
93,북춘천,2023-07-17,24.9,22.6,28.9,.4,.8,91.4,1.6,9.68
93,북춘천,2023-07-18,24.4,22.2,26.9,2.4,.4,93.1,1.2,7.33
93,북춘천,2023-07-19,26.1,20.3,32.9,,1,81.5,11.4,28.45
93,북춘천,2023-07-20,26.3,21.6,32.9,,.9,84,8,22.93
93,북춘천,2023-07-21,28.2,22.5,34.2,,1,76.6,9.6,24.97
93,북춘천,2023-07-22,26.9,23.1,33.6,5.3,1.4,79,8.6,22.13
93,북춘천,2023-07-23,24.4,23.5,25.5,14.7,.6,96.5,0,2.61
93,북춘천,2023-07-24,26.7,24.1,31,7.8,1,86.8,4.8,15.89
93,북춘천,2023-07-25,27.5,23.2,32.8,0,1.5,81.8,9.6,23.37
93,북춘천,2023-07-26,26.2,23.7,30.2,18.4,.8,89,5.2,15.38
93,북춘천,2023-07-27,27.6,23.2,32.9,,1.2,81.3,9.5,24.66
93,북춘천,2023-07-28,28.3,23.7,34.3,,1.1,81.3,9.1,25.15
93,북춘천,2023-07-29,28,23.7,34.7,,1,80.8,9.2,23.1
93,북춘천,2023-07-30,28.4,22.4,34.8,,.8,75.6,12.6,25.38
